"Lower Bound","Upper Bound","Value"
"0.0","","0.007441252127974541"
"1.0","4.0","0.0014775542874119097"
"5.0","9.0","0.003646473245800559"
"10.0","19.0","0.011508899079689057"
"20.0","29.0","0.014814947135046845"
"30.0","39.0","0.016553211026476767"
"40.0","49.0","0.01737088223643029"
"50.0","59.0","0.01754306046492401"
"60.0","69.0","0.017422721010750243"
"70.0","79.0","0.017280560670395195"
"80.0","89.0","0.016950797947911163"
"90.0","99.0","0.016480159684768583"
"100.0","124.0","0.039220214171857254"
"125.0","149.0","0.03651215895693318"
"150.0","174.0","0.03375395024694457"
"175.0","199.0","0.03255048352706736"
"200.0","224.0","0.028823348207045532"
"225.0","249.0","0.028744087650307452"
"250.0","274.0","0.0266235549752451"
"275.0","299.0","0.027792429399893303"
"300.0","324.0","0.022683928087381938"
"325.0","349.0","0.02035036131283548"
"350.0","374.0","0.022065962034974896"
"375.0","399.0","0.02075204925154231"
"400.0","424.0","0.019291220129546243"
"425.0","449.0","0.0147657034560727"
"450.0","474.0","0.017203483218231178"
"475.0","499.0","0.021446182287135237"
"500.0","549.0","0.026635997124775608"
"550.0","599.0","0.034314785279555345"
"600.0","649.0","0.026396174391878472"
"650.0","699.0","0.018641883194318514"
"700.0","749.0","0.02630358939781434"
"750.0","799.0","0.015433893881988965"
"800.0","849.0","0.026275805578333623"
"850.0","899.0","0.020857164971391756"
"900.0","949.0","0.01567611417831122"
"950.0","999.0","0.017927389365139004"
"1000.0","1099.0","0.021694332810172804"
"1100.0","1199.0","0.0333037097532707"
"1200.0","1299.0","0.024907170457913574"
"1300.0","1399.0","0.014645712396445179"
"1400.0","1499.0","0.020902687959484297"
"1500.0","1599.0","0.018570074217547937"
"1600.0","1699.0","0.01344964909007027"
"1700.0","1799.0","0.00982696601785595"
"1800.0","1899.0","0.008453025826946773"
"1900.0","1999.0","0.008901626701472976"
"2000.0","2499.0","0.020703396053393275"
"2500.0","2999.0","0.003765093899492915"
"3000.0","3999.0","0.0013202347340270414"
"4000.0","4999.0","2.3853503027994496E-5"
"5000.0","5999.0","3.3028593783595636E-8"
"6000.0","6999.0","3.5618451258783727E-10"
"7000.0","7999.0","0.0"
"8000.0","8999.0","0.0"
"9000.0","10000.0","0.0"
